label,scale,score,scenario_name,scenario_type,log_name,num_executed_points,executed_path_length_m,expert_path_length_m,path_length_delta_m,avg_error_to_expert_m,max_error_to_expert_m,endpoint_error_to_expert_m,end_x_m,end_y_m,final_plan_path_length_m
baseline,0,1.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,7.162477452410475,5.331288012690202,1.8312569848021507,1.3881777267233557,1.964642888695869,1.964642888695869,-1.2823168067261577,-7.039897167123854,11.725316256611942
scale_0.1,0.1,1.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,7.382137702968458,5.331288012690202,2.0509172353601333,1.5604306227666522,2.1817274191079523,2.1817274191079523,-1.307151759043336,-7.258010516874492,11.938005178196944
scale_0.3,0.3,0.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,8.699049972492357,5.331288012690202,3.3678295048840328,2.7397270108676643,3.4892753218042794,3.4892753218042794,-1.4707568924641237,-8.56227566441521,17.26009766056161
scale_0.5,0.5,0.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,17.10469312197341,5.331288012690202,11.773472654365083,7.971425023701819,11.878946549755069,11.878946549755069,-3.6635294356383383,-16.664661298505962,6.349972154744027
scale_1.0,1.0,0.0,6bd0988fce0f548b,stopping_at_stop_sign_with_lead,2021.07.16.18.06.21_veh-38_04933_05307,149,20.767931465230614,5.331288012690202,15.436710997622288,9.752484026280323,15.423275044176435,15.423275044176435,-5.8739997647935525,-19.696491543203592,28.481101460027297
