scale,label,num_scenarios,mean_runtime_s,max_runtime_s,stop_sign_score,stop_sign_collision,stop_sign_ttc,stop_sign_comfort,score,ego_is_comfortable,ego_progress_along_expert_route,no_ego_at_fault_collisions,speed_limit_compliance,time_to_collision_within_bound
0.0,baseline,5,0.8145907796438472,0.8939275550335508,1.0,1.0,1.0,1.0,0.9254210776796028,0.6,0.985593331458061,1.0,0.9196926463958348,1.0
0.1,scale_0.1,5,0.7146912120966441,0.8024088959731529,1.0,1.0,1.0,1.0,0.925414092973994,0.6,0.98608564669969,1.0,0.919049313521364,1.0
0.3,scale_0.3,5,0.5041854007203581,0.6569429633333335,0.0,0.0,0.0,1.0,0.725514273950453,0.6,0.9901029735798392,0.8,0.9144283788270128,0.8
0.5,scale_0.5,5,0.44594991924295274,0.4922724640000003,0.0,0.0,0.0,0.0,0.7263882404124283,0.4,0.99235070972978,0.8,0.915114574487488,0.8
1.0,scale_1,5,0.45707446617539144,0.5372462993333332,0.0,0.0,0.0,1.0,0.5263982565559525,0.4,0.9961518853179268,0.6,0.8991174004329677,0.6
